date,ttt_group,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C,year,month,day,total_clicks,total_bookings,total_cost,total_revenue
2019-01-06,short,117272,68608,27152,113299,61987,21848,5664,2651,1311,864767,423745,197976,2019,1,6,213032,9626,197134,1486488
2019-01-06,medium,96050,12415,137291,74761,7483,111740,3738,386,5343,565066,60799,812847,2019,1,6,245756,9467,193984,1438712
2019-01-06,long,7060,9568,408676,3407,4796,327505,170,184,9813,27480,27867,1506297,2019,1,6,425304,10167,335708,1561644
2019-01-13,short,109700,64097,25477,105743,57771,20462,5277,2467,1225,794086,387316,193915,2019,1,13,199274,8969,183976,1375317
2019-01-13,medium,128847,16787,172639,101018,10201,140393,5049,526,6766,795529,80124,1020371,2019,1,13,318273,12341,251612,1896024
2019-01-13,long,6473,9551,415381,3116,4827,336438,155,183,9944,24288,29623,1495347,2019,1,13,431405,10282,344381,1549258
2019-01-20,short,132562,83019,31839,127954,75580,25714,6364,3189,1529,985840,500023,232915,2019,1,20,247420,11082,229248,1718778
2019-01-20,medium,179077,22359,196475,141829,13653,157422,7071,706,7758,1136687,108024,1174109,2019,1,20,397911,15535,312904,2418820
2019-01-20,long,5544,9485,422090,2628,4809,343933,131,180,9999,21043,27102,1579326,2019,1,20,437119,10310,351370,1627471
2019-01-27,short,189934,118627,44164,182416,107422,35346,9117,4556,2120,1408158,719603,333481,2019,1,27,352725,15793,325184,2461242
2019-01-27,medium,214657,25781,238325,171255,15781,192639,8538,820,9479,1352353,128639,1461757,2019,1,27,478763,18837,379675,2942749
2019-01-27,long,5555,9852,428138,2597,4948,344523,129,184,9979,21657,28717,1592865,2019,1,27,443545,10292,352068,1643239
2019-02-03,short,275571,170168,64992,265302,154246,52233,13234,6538,3121,2025128,1015594,514652,2019,2,3,510731,22893,471781,3555374
2019-02-03,medium,265241,26041,262481,212975,15644,210484,10616,834,10505,1621868,141923,1581358,2019,2,3,553763,21955,439103,3345149
2019-02-03,long,4873,10485,436051,2229,5278,349781,111,192,9970,17129,29617,1525567,2019,2,3,451409,10273,357288,1572313
2019-02-10,short,387588,231434,97422,373451,209073,78987,18625,8897,4682,3201530,1421242,709174,2019,2,10,716444,32204,661511,5331946
2019-02-10,medium,294408,27456,292986,238431,16530,237136,11842,883,11785,1872124,133710,1802506,2019,2,10,614850,24510,492097,3808340
2019-02-10,long,3774,9833,448219,1693,4973,365419,85,176,10045,13501,27242,1513541,2019,2,10,461826,10306,372085,1554284
2019-02-17,short,522162,319366,113933,505353,290662,91158,25120,12291,5481,3931833,2031277,830097,2019,2,17,955461,42892,887173,6793207
2019-02-17,medium,327307,28708,304017,266581,17249,245338,13219,928,12278,2075168,143406,1899925,2019,2,17,660032,26425,529168,4118499
2019-02-17,long,3826,11574,460536,1688,5863,369692,84,204,10133,13246,31836,1548197,2019,2,17,475936,10421,377243,1593279
2019-02-24,short,634949,405623,144197,614707,371300,115988,30574,15625,6943,4726658,2414857,1079598,2019,2,24,1184769,53142,1101995,8221113
2019-02-24,medium,344850,32072,311240,280914,19415,250306,13984,1040,12621,2161387,156678,1970134,2019,2,24,688162,27645,550635,4288199
2019-02-24,long,3673,11576,480638,1600,5821,385048,80,201,10436,12536,30503,1611403,2019,2,24,495887,10717,392469,1654442
2019-03-03,short,744013,462729,168104,722200,423275,135489,35847,17836,8099,5498581,2844288,1247173,2019,3,3,1374846,61782,1280964,9590042
2019-03-03,medium,346809,32746,317327,283348,19919,256398,14131,1067,12929,2159363,172564,2081906,2019,3,3,696882,28127,559665,4413833
2019-03-03,long,3532,11305,509953,1529,5659,410951,76,196,11028,13019,31595,1664625,2019,3,3,524790,11300,418139,1709239
2019-03-10,short,868553,458489,198927,846897,412743,161330,41866,17680,9589,6509868,2797480,1501466,2019,3,10,1525969,69135,1420970,10808814
2019-03-10,medium,355367,33038,302187,294386,20337,245310,14538,1081,12362,2272346,162386,1898568,2019,3,10,690592,27981,560033,4333300
2019-03-10,long,3726,11468,544273,1622,5745,441711,81,199,11806,13498,33094,1969500,2019,3,10,559467,12086,449078,2016092
2019-03-17,short,926934,513771,197992,901999,464400,158857,44697,19819,9547,7149552,3176459,1433168,2019,3,17,1638697,74063,1525256,11759179
2019-03-17,medium,330139,27171,316303,271140,16332,258390,13535,891,12967,2129393,136179,2055156,2019,3,17,673613,27393,545862,4320728
2019-03-17,long,4714,13310,579124,2078,6680,465792,103,233,12662,15904,36311,1906461,2019,3,17,597148,12998,474550,1958676
2019-03-24,short,951308,552506,209770,920237,499364,167977,45887,21320,10118,7078533,3400127,1551371,2019,3,24,1713584,77325,1587578,12030031
2019-03-24,medium,340188,29257,279755,279221,17672,224073,13943,959,11466,2158757,146065,1742265,2019,3,24,649200,26368,520966,4047087
2019-03-24,long,4826,13637,617763,2137,6876,501716,107,241,13667,16240,36906,2051418,2019,3,24,636226,14015,510729,2104564
2019-03-31,short,952968,583955,214265,925075,533201,172597,45980,22540,10338,6999965,3387364,1625435,2019,3,31,1751188,78858,1630873,12012764
2019-03-31,medium,323251,27985,269673,264634,16873,215827,13210,915,11020,2099356,145398,1789976,2019,3,31,620909,25145,497334,4034730
2019-03-31,long,6071,14718,654177,2738,7416,529644,136,264,14685,22551,39809,2227538,2019,3,31,674966,15085,539798,2289898
2019-04-07,short,926278,617026,208370,896071,567348,167282,44707,23824,10057,6730622,3609772,1623092,2019,4,7,1751674,78588,1630701,11963486
2019-04-07,medium,302584,28504,263505,247013,17320,211425,12289,926,10702,1922928,144320,1712501,2019,4,7,594593,23917,475758,3779749
