date,ttt_group,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C
2019-01-06,short,117272,68608,27152,113299,61987,21848,5664,2651,1311,864767,423745,197976
2019-01-06,medium,96050,12415,137291,74761,7483,111740,3738,386,5343,565066,60799,812847
2019-01-06,long,7060,9568,408676,3407,4796,327505,170,184,9813,27480,27867,1506297
2019-01-13,short,109700,64097,25477,105743,57771,20462,5277,2467,1225,794086,387316,193915
2019-01-13,medium,128847,16787,172639,101018,10201,140393,5049,526,6766,795529,80124,1020371
2019-01-13,long,6473,9551,415381,3116,4827,336438,155,183,9944,24288,29623,1495347
2019-01-20,short,132562,83019,31839,127954,75580,25714,6364,3189,1529,985840,500023,232915
2019-01-20,medium,179077,22359,196475,141829,13653,157422,7071,706,7758,1136687,108024,1174109
2019-01-20,long,5544,9485,422090,2628,4809,343933,131,180,9999,21043,27102,1579326
2019-01-27,short,189934,118627,44164,182416,107422,35346,9117,4556,2120,1408158,719603,333481
2019-01-27,medium,214657,25781,238325,171255,15781,192639,8538,820,9479,1352353,128639,1461757
2019-01-27,long,5555,9852,428138,2597,4948,344523,129,184,9979,21657,28717,1592865
2019-02-03,short,275571,170168,64992,265302,154246,52233,13234,6538,3121,2025128,1015594,514652
2019-02-03,medium,265241,26041,262481,212975,15644,210484,10616,834,10505,1621868,141923,1581358
2019-02-03,long,4873,10485,436051,2229,5278,349781,111,192,9970,17129,29617,1525567
2019-02-10,short,387588,231434,97422,373451,209073,78987,18625,8897,4682,3201530,1421242,709174
2019-02-10,medium,294408,27456,292986,238431,16530,237136,11842,883,11785,1872124,133710,1802506
2019-02-10,long,3774,9833,448219,1693,4973,365419,85,176,10045,13501,27242,1513541
2019-02-17,short,522162,319366,113933,505353,290662,91158,25120,12291,5481,3931833,2031277,830097
2019-02-17,medium,327307,28708,304017,266581,17249,245338,13219,928,12278,2075168,143406,1899925
